Vivado Simulator 2016.2
Time resolution is 1 ps
 
 
 
time=   5.0 ns A=0000 B=0000 add_sub=0 || Carry out=0 S=0000
time=  10.0 ns A=0001 B=0001 add_sub=1 || Carry out=1 S=0000
time=  15.0 ns A=0010 B=0010 add_sub=0 || Carry out=0 S=0100
time=  20.0 ns A=0011 B=0011 add_sub=1 || Carry out=1 S=0000
time=  25.0 ns A=0100 B=0100 add_sub=0 || Carry out=0 S=1000
time=  30.0 ns A=0101 B=0101 add_sub=1 || Carry out=1 S=0000
time=  35.0 ns A=0110 B=0110 add_sub=0 || Carry out=0 S=1100
time=  40.0 ns A=0111 B=0111 add_sub=1 || Carry out=1 S=0000
time=  45.0 ns A=1000 B=1000 add_sub=0 || Carry out=1 S=0000
time=  50.0 ns A=1001 B=1001 add_sub=1 || Carry out=1 S=0000
time=  55.0 ns A=1010 B=1010 add_sub=0 || Carry out=1 S=0100
time=  60.0 ns A=1011 B=1011 add_sub=1 || Carry out=1 S=0000
time=  65.0 ns A=1100 B=1100 add_sub=0 || Carry out=1 S=1000
time=  70.0 ns A=1101 B=1101 add_sub=1 || Carry out=1 S=0000
time=  75.0 ns A=1110 B=1110 add_sub=0 || Carry out=1 S=1100
time=  80.0 ns A=1111 B=1111 add_sub=1 || Carry out=1 S=0000
$finish called at time : 80 ns : File "C:/Users/HP Useer/Lab2_part2/Lab2_part2.srcs/sim_1/new/add_sub_4bit_tb.v" Line 46
